activityId,athleteId,source,startTime,distanceKm,elapsedSec,movingSec,ascentM,avgHr,maxHr,hasTimeseries,polyline,rawJsonPath
14145355041,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-11T14:03:00Z,5.9752,878,878,36.0,158.3,170.0,True,etyrG{qeb@[x@UDWK_ALqA@gBHa@D{@@aAJ{AHyBRcADUQqAoBmDyJcAmAYKST_C|ECDQ@KMc@gBSYa@a@o@g@_Am@{@{@s@cAS_@o@gBm@gBi@qBUqAWwCAy@FaEHqBZgEDqDH_Bd@gDbAsCBg@Gi@i@uCYQkB_AqAi@w@MgATYOO[?a@L_CF[B[KSGCy@G[Kk@i@U[[o@s@_C[_BcAqIH]@_@OaA?Q@yAJiDCmAKa@UUWEg@CSUMo@QkBuA{KJ]z@]j@[j@y@P}@BuAAOYkAWa@Y[UMw@OcA]UOa@e@Yq@WkAkAuHi@gCcAeG_@}@Ga@c@oFCmAO_@ICS@IEOSeByGwDwMw@iCoAmDU?eAl@_CdCQNUBQKOSSc@Uq@OUIGUIU@cEbEgA`AoAlA_Ap@a@^oCzEu@t@{@d@y@p@s@v@QJ[B]?ICEGYaBOqAHiAb@}D,raw/strava/14145355041.json
14145770448,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-11T15:05:38Z,5.9845,820,820,11.0,147.3,169.0,True,im~rGyklb@R~AFNFBr@?REHGxA{A`B}@JKjBuCv@}ATYjByAzCmCv@y@LQnAwAXIXHHFHJNZ\~@f@j@H?JCPMr@o@j@m@x@gAP[d@DNTt@pBxB~GpCzJn@nCb@pBHLJFT?TDFJBNPtDP~Bn@zBl@|CT`Bj@`Ch@`Ep@tDNb@l@v@`Ah@nAZZLVVV^Nd@Jh@@n@Cn@Ij@i@dAMJ[TeAZENCP?P`A`Jl@pETTVGL?XFRVH^Bd@QbGBf@ThAOdAVdCh@~DTvAZpANh@h@hAn@~@JFZHr@@VTBh@MrACxAJb@JLJBL?n@Of@HnAb@pClAP^d@rBJ|@Qp@m@`B]bBYxCElEWjDMrCErC@dBPhCb@xBh@rB~@jC`ArBt@v@`Az@lBvARXb@|AV^LENYtBqETOPF`@`@b@x@lBtFz@~Bn@|@f@~@JDV?lFa@jBI`Ge@dB?NQd@gAP]VMjALtAf@,raw/strava/14145770448.json
14147064009,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-11T16:19:23Z,2.3072,5749,4640,0.0,130.5,171.0,True,,raw/strava/14147064009.json
14155390870,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-12T13:28:15Z,12.5501,6767,5996,785.0,165.7,192.0,True,uvvrG}wfb@xAnA|@uBf@u@LgAx@YrADR[Ly@LQhCvBp@L`@Z_AmCwAyCa@oBAo@BwCNo@HsAZqAVMJYXLHKJHHMRNHMD}@G{DUo@Ak@NCFH?QNB@IJ?@KLJBIRHAOJI`@Zl@yA^a@RCf@a@tAm@tA_BlAUVi@FeBRIXF`@{@Z}Aj@_ArB_Bt@_Bp@_AfBcAbJaAn@YvAWjAg@bBUpCwAzAWdAk@nBwAt@Ep@p@U}A?o@Hc@TSr@QNOL_@X[@eA|@{@`AaBGuDJcAl@EHNL?NITVRLRMf@LVQRLNUPHFKTt@\NGm@DcAN_@z@[Z[Tm@VoA\{Bi@oAUmAYsD@o@HU\[n@cAv@iCr@k@Q}@Am@LiABsARuBfA_EcBeA}Bm@aDwBUYHWpAs@\G`@?N[ZKR[NCNUb@MXH^c@ZC^Up@M\FLP^MXHPQVDHOv@g@p@Dj@]x@n@z@H`@UPSTHx@]T@|@w@x@WxAu@r@{@pBXAJ[?iAe@OFCL\v@n@x@z@BPJ@PIVq@NQtCe@fC_@bA?jAx@|C\lCFxA?|Bk@hBU`B^jCOvDOt@i@`Aq@b@cAlAm@tAKh@Bp@n@|Cl@|@YvGf@d@JdACXm@n@Gd@A~IFbAEl@BzDIb@XvCa@`Ag@V[b@AZL`@Kf@s@hB]^q@LFfA`@lANx@K|Au@bB_Av@W`@i@xAS|B?z@UbAKbBVnBn@hBl@pCZn@tAhBzElChAZdCCv@S`@c@@NGLoAvAaCj@eDA{@k@s@OqDKw@a@g@q@e@cAYWi@SwCuBoAg@]a@g@yAUU@FWBMx@MFF`BMjAHx@`@pATVHl@uBSwAaAg@OsA@]Ic@_@e@o@kBqEqBmCO{@_AlCw@Zk@?SM_@c@[{@_AsAO{AK]KGIFY`AgBd@a@^y@tA[RiF`AyDH}AI{@X[`@M@o@q@q@aBcBu@mAeAoAoBm@yAoAeEYoACmAo@g@Sm@w@qA[SUAkAZmAnAcAb@wAv@e@l@c@nAk@_@GJ?NQGCHKM?PGAALMICRUI?\Tl@D\?dEFLE`@qAKOZUJKZW`AEfAK^IhEl@rCt@vAN~@\\Zl@Ln@eBi@wBmBKF[pA,raw/strava/14155390870.json
14165126725,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-13T13:46:21Z,,2823,2823,0.0,116.3,162.0,True,,raw/strava/14165126725.json
14181915846,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-15T10:10:11Z,,2012,2012,0.0,102.3,135.0,True,,raw/strava/14181915846.json
14187054560,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-15T19:30:39Z,8.4322,2903,2903,41.0,143.0,151.0,True,i}xrGmbfb@Cm@G[Ew@Ig@EaBIy@?UScBo@uCO_@WgAGQa@w@q@}@q@s@Kg@a@[i@]sA_@iAIo@@OAGEW]SACAEIAWBs@Aq@NyBCe@_@gCK_D@YIwA@SDIv@e@h@o@JUp@{@l@sARq@dAcCLe@P_@jAiD^oATeADc@VsAZoBX{C`@sCBq@TsAJaAV_BViCPy@PgC@eAEiB?oAEc@CsADoA?kAGgB?yBGiB?sAFoACSMv@EzA?hAJnEAnFNvH?n@QbCe@vDW|Ac@lDYnCO`AWfC[`C_@zBcAnDqApD_@t@I\_@`A?Da@`Ay@rAq@v@OZe@f@]PgCh@{@A}AFs@F[?[Fq@?mARcCl@k@P]R_AZg@FSHW@_@F_@Jw@JsBj@i@H_Bh@cAn@c@Re@Zs@t@s@~@[l@w@nBu@dEAdBF~@@bAHjAt@xDj@vBd@lAP\j@v@@Hf@h@ZNd@\r@`@x@r@`@j@`@p@b@l@PZfAnCzA|Ep@|APj@l@xANj@R`@b@zAVhAh@vDZbD\hF?jAItCQ|Dk@lFMh@e@xCSn@MP?DiAfCm@lAGXGr@C|A@jANbBL^Rf@^^HBH?JDd@CRHBAr@Y\[b@Uf@StAu@pEmBd@a@VKb@_@LGJO\_@nAgBTm@FUAq@Fo@Ha@L]TkA@_@Fo@B}@F]PYH[BeBDUCa@Bi@A{@KmBG_CE[@mBGaAA}@Kk@G{@EiBCa@?q@Eg@?{@CkAK_CH]Hs@FgBFSFGJE`AM^C^@JCFG,raw/strava/14187054560.json
14205519121,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-17T18:17:03Z,,3593,3593,0.0,122.9,161.0,True,,raw/strava/14205519121.json
14215446428,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-18T19:00:22Z,6.0766,1732,1725,79.0,161.1,184.0,True,ecmcH`}`TXGd@Ad@HDCRARDdAD`ABr@A~AHf@AZB~CBxAQPKZILIt@UhAk@t@Q^ObBgAt@u@p@aAVYt@mAv@cAd@w@^a@f@u@pAcA`@Q`C{Af@q@\q@^i@FSRUl@eAJ_@f@q@DKn@y@vAsAr@w@n@i@\c@R]PK`@a@z@]JA\DbAZR?LEBMDc@T}@JUBQAa@Cc@WkAC_@IgBIqA?WDSAYEo@GkBQeAYy@c@aBMU[y@}@}CYm@O}@kAeDw@gCYq@aA_Dm@eBKa@e@oAS{@_AeBk@_Ao@}@]]MEM?i@XWBQC[QiAeAi@]}@[_AK]@q@Fu@ZuAv@mAbAc@n@i@j@a@j@qBrBWZw@x@[Rs@TyA~@c@LmBv@yAV_ALsBLqBD}ATe@Nm@Ha@Re@LaA`@_@RYHc@P}@RwAV{@BkAIqAa@u@]wBy@m@Oy@Go@Aw@EO@MFCDGLARKxAChA@dAD`AHj@NhAPz@J`APz@b@jCXlA~@bCf@`At@pBh@pBh@lD\|DXtBJvAV`BTnA\jAtAxD\tAbCxO,raw/strava/14215446428.json
14224884220,8c83ae21-a810-466d-a5c5-95ef9a470c8a,strava,2025-04-19T16:52:41Z,6.018,2765,2760,85.0,123.8,140.0,True,_pmcHzr`Tm@kEkAuHs@_CeAsC]}AWuAwAgN]cC[sAc@oAq@_B_@cAm@qAY{@U_AKw@]eBCa@UgAS{AWaC?qABy@Fy@Bo@J[LI\?~@?dAFh@Nf@T`Bf@\NNDJFXDd@NP?B@hAJx@?RCTEN?NGTCRID@JCp@Qn@WnA_@XS^ObCm@TAz@MP@z@CNEnACh@ITAdAQb@Qb@KRMTGd@Y^Kl@c@D?VKzAw@hC{BDGfBsBN[XWHO`@[NQr@i@zBgAb@Kp@Eb@Dl@Jd@Rz@l@t@p@f@VN?VEd@YF?LDj@n@|@nAp@jA^v@^lALVp@xB|ArE`@rAZx@dAbDJVNd@@VFNZv@f@bBr@rBFJ~@vCLx@Hp@Af@NdCGL?J^~ET|AA^Mp@Sl@Gp@ILI@e@GQGEBKC]IQ@IAWHe@TSN[b@WROFKN[VMN]Vs@z@UPCHs@n@[b@QN_@t@_@h@ITiApBQR]p@QVeA~@G@[PG@]TSHUTG@y@j@INm@l@Ud@g@r@MZONS^ONAHONOZUZC@Y^s@r@EHKHMPGDM@GFE?KLCAs@^OBEDG@WPODk@^gBj@]PU@KBI?WPUGIDOGY@[JM@a@?m@EO@WEs@?KBOCw@@{AKQ@OKK?[?c@F}@?,raw/strava/14224884220.json
