lapIndex,split,name,startTime,distanceKm,timeSec,elapsedSec,avgSpeedKmh,ascentM,distanceEqKm,avgHr,maxHr,hrReserveRatio,hrPercentMax,trimp,label
1,1,Lap 1,2025-02-09T08:43:49Z,1.985,303.0,303.0,23.58,9.8,2.083,104.1,127.0,0.327,50.8,0.03,Recovery
2,2,Lap 2,2025-02-09T08:55:04Z,1.913,685.0,685.0,10.04,11.0,2.023,120.2,137.0,0.435,58.6,0.12,Recovery
3,3,Lap 3,2025-02-09T09:06:45Z,4.58,1429.0,1429.0,11.56,10.4,4.684,112.0,143.0,0.38,54.6,0.2,Recovery
4,4,Lap 4,2025-02-09T09:30:11Z,1.27,661.0,661.0,6.91,11.2,1.382,115.8,134.0,0.405,56.5,0.1,Recovery
5,5,Lap 5,2025-02-09T09:40:51Z,2.366,1047.0,1047.0,8.14,10.8,2.474,108.3,156.0,0.355,52.8,0.13,Recovery
6,6,Lap 6,2025-02-09T09:59:15Z,2.77,953.0,953.0,10.48,9.4,2.864,117.9,147.0,0.419,57.5,0.16,Recovery
7,7,Lap 7,2025-02-09T10:16:50Z,3.724,1346.0,1346.0,9.97,14.0,3.864,125.9,157.0,0.473,61.4,0.28,Recovery
8,8,Lap 8,2025-02-09T10:41:50Z,4.542,1924.0,1924.0,8.5,10.0,4.642,142.5,186.0,0.583,69.5,0.61,Run
9,9,Lap 9,2025-02-09T11:09:36Z,1.232,716.0,716.0,6.19,11.8,1.35,120.4,160.0,0.436,58.7,0.13,Recovery
10,10,Lap 10,2025-02-09T11:21:22Z,2.305,788.0,788.0,10.51,9.6,2.401,117.6,144.0,0.417,57.4,0.13,Recovery
11,11,Lap 11,2025-02-09T11:35:14Z,3.186,1251.0,1251.0,9.18,10.2,3.288,130.2,166.0,0.501,63.5,0.29,Run
12,12,Lap 12,2025-02-09T11:56:11Z,2.557,1280.0,1280.0,7.2,10.6,2.663,118.1,135.0,0.421,57.6,0.21,Recovery
13,13,Lap 13,2025-02-09T12:25:22Z,4.793,3759.0,3759.0,4.61,25.4,5.047,95.9,122.0,0.273,46.8,0.31,Recovery
14,14,Lap 14,2025-02-09T13:14:58Z,0.339,228.0,228.0,5.36,10.0,0.439,95.1,111.0,0.267,46.4,0.02,Recovery
15,15,Lap 15,2025-02-09T13:22:29Z,0.7,572.0,572.0,4.39,9.6,0.796,94.3,112.0,0.262,46.0,0.04,Recovery
16,16,Lap 16,2025-02-09T13:29:02Z,3.346,1230.0,1230.0,9.79,10.6,3.452,107.4,154.0,0.349,52.4,0.15,Recovery
17,17,Lap 17,2025-02-09T13:48:37Z,0.327,199.0,199.0,5.9,9.6,0.423,115.0,139.0,0.4,56.1,0.03,Recovery
18,18,Lap 18,2025-02-09T13:54:00Z,0.944,933.0,933.0,3.64,10.4,1.048,107.7,146.0,0.351,52.5,0.11,Recovery
19,19,Lap 19,2025-02-09T14:15:46Z,2.756,1345.0,1345.0,7.38,0.0,2.756,120.2,149.0,0.435,58.6,0.24,Recovery
