hr_smooth,speed_smooth,hr_shifted,cluster
121.0,7.392415406740102,121.4,2
121.0,7.457031006402729,121.5,2
121.14285714285714,7.605544054932763,121.6,2
121.25,7.683246701553233,121.7,2
121.33333333333333,7.756023211055112,121.8,2
121.4,7.843795354530539,122.0,2
121.5,7.964246203446902,122.2,2
121.6,8.053724549569957,122.3,2
121.7,8.138967904492889,122.4,2
121.8,8.13703681758567,122.5,2
122.0,8.100059211454584,122.6,2
122.2,8.132796132742325,122.7,2
122.3,8.11610635014155,122.8,2
122.4,8.154568777827738,122.9,2
122.5,8.246159783137383,123.0,2
122.6,8.322155566091977,123.0,2
122.7,8.338275142777027,123.0,2
122.8,8.41182983159268,123.1,2
122.9,8.485740933410199,123.2,2
123.0,8.553700136113772,123.3,2
123.0,8.667964928257888,123.4,2
123.0,8.667295447849202,123.5,2
123.1,8.62386127518568,123.6,2
123.2,8.581582961272412,123.7,2
123.3,8.487560937149512,123.8,2
123.4,8.334193149260424,123.9,2
123.5,8.29957221305457,124.0,2
123.6,8.304492145141861,124.1,2
123.7,8.320924969231537,124.2,2
123.8,8.357969186297558,124.3,2
123.9,8.405292627372827,124.4,2
124.0,8.461146858463954,124.5,2
124.1,8.474823676782524,124.6,2
124.2,8.440603724586676,124.7,2
124.3,8.339682352726085,124.8,2
124.4,8.250429389094009,124.9,2
124.5,8.15205779681825,125.0,2
124.6,8.00522216847813,125.0,2
124.7,7.843857523236906,125.0,2
124.8,7.7540076132967615,124.9,2
124.9,7.663139540531738,124.8,2
125.0,7.6196423790296866,124.7,2
125.0,7.615309237841113,124.6,2
125.0,7.6493610956762605,124.5,2
124.9,7.694729407019805,124.4,2
124.8,7.730053114996852,124.3,2
124.7,7.7651006076539675,124.1,2
124.6,7.82434192527265,123.9,2
124.5,7.843084336160876,123.7,2
124.4,7.75329426286967,123.6,2
124.3,7.636807250233268,123.5,2
124.1,7.466741567649912,123.4,2
123.9,7.393272319060047,123.3,2
123.7,7.399759105990351,123.2,2
123.6,7.482250075282994,123.1,2
123.5,7.592491130892862,123.0,2
123.4,7.627068049735191,123.0,2
123.3,7.601056999292671,123.0,2
123.2,7.598763473962414,123.0,2
123.1,7.71362041092465,123.1,2
123.0,7.838531604816116,123.2,2
123.0,7.978181364449748,123.3,2
123.0,7.983392373133226,123.4,2
123.0,7.836939846595726,123.4,2
123.1,7.527354705372408,123.4,2
123.2,7.1837883477542075,123.4,2
123.3,6.973480763353455,123.4,2
123.4,6.91774734045015,123.4,2
123.4,6.9737551356632625,123.4,2
123.4,7.072756645203145,123.3,2
123.4,7.229013003988664,123.2,2
123.4,7.376734240765662,123.1,2
123.4,7.61191824638234,123.0,2
123.4,7.97606576287752,123.0,2
123.3,8.502706114819961,123.0,2
123.2,9.10894313318051,123.0,2
123.1,9.607524183343598,123.0,2
123.0,9.90616459924836,123.1,2
123.0,10.051351542946229,123.2,2
123.0,10.059705845240765,123.3,2
123.0,9.994053791748355,123.4,2
123.0,10.005390965183315,123.5,2
123.1,10.093718258880958,123.6,2
123.2,10.15569957773506,123.7,2
123.3,10.207996052866301,123.8,2
123.4,10.258839954259942,124.0,2
123.5,10.31392496690544,124.2,2
123.6,10.49406734468669,124.3,2
123.7,10.72358670981782,124.4,2
123.8,10.94781712826508,124.5,2
124.0,11.199870506104588,124.7,2
124.2,11.384383987037197,124.9,2
124.3,11.42024665634964,125.1,2
124.4,11.382332277736307,125.3,2
124.5,11.326595929247958,125.5,2
124.7,11.218181370685791,125.6,2
124.9,11.15628364637507,125.8,2
125.1,11.05934690996774,126.0,2
125.3,11.055887707869063,126.3,2
125.5,11.091395339978465,126.6,2
125.6,11.084669660742076,126.8,2
125.8,11.049423518327314,127.0,2
126.0,11.050201104108721,127.2,2
126.3,11.020279530084462,127.3,2
126.6,10.99574808994762,127.4,2
126.8,10.99391298736734,127.5,2
127.0,10.957225093684363,127.6,2
127.2,10.889304615842022,127.7,2
127.3,10.753522758495365,127.8,2
127.4,10.583174794933381,127.9,2
127.5,10.449740939151358,128.1,2
127.6,10.375249538268797,128.3,2
127.7,10.336971518664539,128.6,2
127.8,10.385902254444186,129.0,4
127.9,10.438859731726911,129.4,4
128.1,10.490124616736612,129.8,4
