durationMin,durationHours,activityCount,maxObservedHrr,quantileObservedHrr,targetHrrRaw,targetHrr,fittedHrr,residualHrr,fitWeight,usedForFit,isExtrapolated
5.0,0.08333333333333333,246,0.8753333333333334,0.7583333333333333,0.8753333333333334,0.8753333333333334,0.9326708968241009,-0.05733756349076746,1.0,True,False
10.0,0.16666666666666666,227,0.8753333333333334,0.7582666666666666,0.8753333333333334,0.8753333333333334,0.8949815206292988,-0.019648187295965402,1.0,True,False
15.0,0.25,218,0.8753333333333334,0.7586666666666667,0.8753333333333334,0.8753333333333334,0.8736446890096105,0.0016886443237229543,1.0,True,False
20.0,0.3333333333333333,208,0.8753333333333334,0.7588666666666667,0.8753333333333334,0.8753333333333334,0.858815177996271,0.016518155337062357,1.0,True,False
30.0,0.5,182,0.8753333333333334,0.7578666666666666,0.8753333333333334,0.8753333333333334,0.8383405710653319,0.03699276226800152,1.0,True,False
45.0,0.75,118,0.8753333333333334,0.7572666666666668,0.8753333333333334,0.8753333333333334,0.8183540895654715,0.0569792437678619,1.0,True,False
60.0,1.0,71,0.8013333333333332,0.7566666666666667,0.8013333333333332,0.8013333333333332,0.804463098025444,-0.0031297646921107924,0.702358699975289,True,False
90.0,1.5,41,0.8013333333333332,0.7626666666666667,0.8013333333333332,0.8013333333333332,0.7852842733556871,0.016049059977646163,0.702358699975289,True,False
120.0,2.0,31,0.8013333333333332,0.76,0.8013333333333332,0.8013333333333332,0.7719546189471747,0.029378714386158578,0.702358699975289,True,False
180.0,3.0,16,0.7626666666666667,0.7473333333333333,0.7626666666666667,0.7626666666666667,0.7535508135692324,0.009115853097434345,0.5762954536375465,True,False
240.0,4.0,10,0.6739999999999999,0.6644,0.6739999999999999,0.6739999999999999,0.740759812571328,-0.06675981257132801,0.35151650211800056,True,False
360.0,6.0,6,0.6539999999999999,0.6356666666666666,0.6539999999999999,0.6539999999999999,0.7230997078349164,-0.06909970783491648,0.31161411768056413,True,False
480.0,8.0,5,0.6539999999999999,0.6393333333333333,0.6539999999999999,0.6539999999999999,0.7108255931794075,-0.05682559317940761,0.31161411768056413,True,False
720.0,12.0,0,,,,,0.6938791360257786,,,False,True
960.0,16.0,0,,,,,0.6821010202550689,,,False,True
1440.0,24.0,0,,,,,0.6658393720742589,,,False,True
