cohort,stage,r2,maeMin,mapePct,biasMin
hardTrailRun,Stage 0 reproduction Stage 3,0.8581820986691204,47.50153014320344,35.100509216190986,15.96805949931083
hardTrailRun,Stage 0 reproduction Stage 3 LOO,0.842682417829952,48.85465121052006,35.35537918582334,14.614938431994213
hardTrailRun,Stage 1 TRIMP fatigue CTL,0.8582150525609065,45.74135829550258,32.65974543542585,11.095549486122497
hardTrailRun,Stage 1 TRIMP fatigue CTL LOO,0.8528885155790976,46.717544454139336,32.923567151239915,11.409458705316503
hardTrailRun,Stage 2 TRIMP fatigue REDI,0.855322559545361,46.10253211330454,32.74209485832955,11.014903376006616
hardTrailRun,Stage 2 TRIMP fatigue REDI LOO,0.8477316826174199,47.23403289050196,33.00111670401999,10.919039805277748
hardTrailRun,Stage 3 HRR speed ratio,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743
hardTrailRun,Stage 3 HRR speed ratio LOO,0.9606258575441119,26.278936490091244,19.76563119773086,13.769700075825606
top10HardTrailByHRR,Stage 0 reproduction Stage 3,0.9748301332991514,7.681998283111469,9.809552064043952,0.6501117861733352
top10HardTrailByHRR,Stage 0 reproduction Stage 3 LOO,0.9668993645502254,8.440338684006866,10.309414098957888,0.698387313983582
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,0.9777556898600915,7.105985039762772,9.61809805214088,1.774992991702373
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL LOO,0.9731498170797809,7.583981688310881,9.882769507593874,1.2969963431542744
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,0.9798160257343511,6.866970108890003,8.880555351511735,1.2607295117816775
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI LOO,0.9767180400116369,7.187563271284285,9.058070945307016,0.9401363493873895
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.9862437427873263,4.932495480852036,5.546475542146824,-2.38972282760835
top10HardTrailByHRR,Stage 3 HRR speed ratio LOO,0.9816600072502322,5.464767447612901,5.946730185656688,-1.8574508608474942
selectedDateRaces,Stage 0 reproduction Stage 3,0.9326471827328023,37.497560470610644,30.22441825370229,17.196736956706808
selectedDateRaces,Stage 0 reproduction Stage 3 LOO,0.909398252265039,41.554578987356,31.39172629350974,15.815649432510643
selectedDateRaces,Stage 1 TRIMP fatigue CTL,0.9325006556327102,39.93140678592894,33.77941865794641,24.264826206541805
selectedDateRaces,Stage 1 TRIMP fatigue CTL LOO,0.9039370606209457,44.9247841289299,34.823036304332824,20.460455470125833
selectedDateRaces,Stage 2 TRIMP fatigue REDI,0.9349838468617925,38.959011631604774,32.88801309635891,23.035947257158796
selectedDateRaces,Stage 2 TRIMP fatigue REDI LOO,0.905221722675365,44.305430021751604,34.133239011026276,19.603468832856823
selectedDateRaces,Stage 3 HRR speed ratio,0.9890363462679423,11.408165652481564,7.59712886640298,-0.6337451686156454
selectedDateRaces,Stage 3 HRR speed ratio LOO,0.9786847081320013,15.327009444162872,8.492479055896755,3.931485162196835
