slice,param,value,count,sharePct
refinedTop20,hrrReference,0.6,1,5.0
refinedTop20,hrrReference,0.85,17,85.0
refinedTop20,hrrReference,0.9,2,10.0
refinedTop20,hrrMinFactor,0.25,3,15.0
refinedTop20,hrrMinFactor,0.3,13,65.0
refinedTop20,hrrMinFactor,0.4,4,20.0
refinedTop20,hrrMaxFactor,1.0,13,65.0
refinedTop20,hrrMaxFactor,1.2,3,15.0
refinedTop20,hrrMaxFactor,1.4,3,15.0
refinedTop20,hrrMaxFactor,1.8,1,5.0
refinedTop20,trimpScale,0.75,1,5.0
refinedTop20,trimpScale,1.0,13,65.0
refinedTop20,trimpScale,1.5,5,25.0
refinedTop20,trimpScale,2.0,1,5.0
refinedTop20,decayLambda,0.1,2,10.0
refinedTop20,decayLambda,0.15,1,5.0
refinedTop20,decayLambda,0.25,15,75.0
refinedTop20,decayLambda,0.35,2,10.0
refinedTop20,ctlWeight,0.05,20,100.0
refinedTop20,tsbWeight,0.1,20,100.0
refinedTop20,minFatigueFactor,0.5,20,100.0
