slice,param,value,count,sharePct
wideTop50,hrrReference,0.65,8,16.0
wideTop50,hrrReference,0.7,12,24.0
wideTop50,hrrReference,0.75,5,10.0
wideTop50,hrrReference,0.775,2,4.0
wideTop50,hrrReference,0.8,14,28.000000000000004
wideTop50,hrrReference,0.85,9,18.0
wideTop50,hrrMinFactor,0.15,9,18.0
wideTop50,hrrMinFactor,0.25,9,18.0
wideTop50,hrrMinFactor,0.3,21,42.0
wideTop50,hrrMinFactor,0.4,11,22.0
wideTop50,hrrMaxFactor,1.0,13,26.0
wideTop50,hrrMaxFactor,1.2,11,22.0
wideTop50,hrrMaxFactor,1.4,13,26.0
wideTop50,hrrMaxFactor,1.8,13,26.0
wideTop50,trimpScale,0.75,4,8.0
wideTop50,trimpScale,1.0,3,6.0
wideTop50,trimpScale,1.5,4,8.0
wideTop50,trimpScale,2.0,39,78.0
wideTop50,decayLambda,0.1,7,14.000000000000002
wideTop50,decayLambda,0.15,40,80.0
wideTop50,decayLambda,0.25,3,6.0
wideTop50,ctlWeight,0.05,50,100.0
wideTop50,tsbWeight,0.1,50,100.0
wideTop50,minFatigueFactor,0.5,50,100.0
