cohort,fitObjective,terrainFamily,terrainLabel,segmentCount,activityCount,distanceKm,actualMin,predictedMin,r2,maeMin,rmseMin,mapePct,biasMin,residualStdMin
hardTrailRun,activity,steep_descent,Steep descent,67,23,65.88076919979083,654.3333333333334,400.96693180694626,-0.10567842845119113,3.84585762798839,4.806533618593796,36.86006222300931,-3.781588082483389,2.9668766406933713
hardTrailRun,activity,descent,Descent,192,40,187.73750905129268,1468.7333333333333,1247.990745176728,0.558769514143455,1.55390118578149,2.279170787637567,17.42589630416834,-1.1497009799823188,1.9679449016291446
hardTrailRun,activity,flat,Flat,218,37,205.38095406399492,1618.1166666666666,1877.0954409246808,0.6111974862202356,1.6387876295843826,2.0469719283996883,25.278036728871033,1.1879760287064869,1.66697541399839
hardTrailRun,activity,mixed_climb_descent,Mixed climb/descent,110,36,110.0034775658668,1133.95,1186.1279875963858,0.7092242970612237,1.8533420487713193,2.3899469141759235,19.07278708098058,0.474345341785325,2.3424010649983886
hardTrailRun,activity,climb,Ascent,189,39,188.1838223401047,2116.516666666667,2703.7840836887513,-0.07944951994696314,3.261040431980731,3.929462327523855,31.583722865309234,3.1072350106988607,2.4053616717068644
hardTrailRun,activity,steep_climb,Steep ascent,61,22,60.208185321644294,1013.2166666666667,1323.233602398666,-1.2545614491434285,5.083157629697959,6.199398144873515,31.23616333227378,5.082244848065566,3.5501161478143493
hardTrailRun,segment,steep_descent,Steep descent,67,23,65.88076919979083,654.3333333333334,364.6283030158263,-0.38356718316257576,4.337124480485263,5.37672336190043,41.509658784087726,-4.323955676380702,3.195709845887289
hardTrailRun,segment,descent,Descent,192,40,187.73750905129268,1468.7333333333333,1104.3337109203558,0.38537636929567,1.9406335368816634,2.6899780798576383,22.33663890782418,-1.8979147000675924,1.90627958636238
hardTrailRun,segment,flat,Flat,218,37,205.38095406399492,1618.1166666666666,1625.2805330471194,0.7990318307840987,1.024534291533588,1.4716718842423622,13.786372636225428,0.03286177238739749,1.471304944185611
hardTrailRun,segment,mixed_climb_descent,Mixed climb/descent,110,36,110.0034775658668,1133.95,1033.2096942767848,0.7123988787491816,1.6818618391245248,2.376864831164029,14.563231131880233,-0.9158209611201377,2.193344111806763
