cohort,stage,r2,maeMin,mapePct,biasMin,validation,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,alpha,fatigueCoef
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,in_sample,activity,decayed,decayedTrimpBefore,linear,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9606206970150696,26.28231324871559,19.76756972935636,13.773076834449956,loo,activity,decayed,decayedTrimpBefore,linear,0.45,0.1
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9606258575441119,26.278936490091244,19.76563119773086,13.769700075825606,loo,activity,decayed,decayedTrimpBefore,exponential,0.45,0.1
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,in_sample,activity,cumulative,cumTrimpBefore,linear,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9195646890269995,31.46298721817085,20.171399846499046,15.916376131775923,loo,activity,cumulative,cumTrimpBefore,linear,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743,in_sample,activity,cumulative,cumTrimpBefore,exponential,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9364186801501598,30.62753672829256,20.08456547193973,13.71772269109457,loo,activity,cumulative,cumTrimpBefore,exponential,0.45,0.0
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear,0.9152421112207237,25.652710925213526,10.405047557076744,-18.062799138867675,in_sample,segment,decayed,decayedTrimpBefore,linear,0.55,0.4
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9152421112207239,25.652710925213515,10.405047557076745,-18.06279913886767,loo,segment,decayed,decayedTrimpBefore,linear,0.55,0.4
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9148977838143557,25.697441468177843,10.409387346846934,-18.138108140546954,in_sample,segment,decayed,decayedTrimpBefore,exponential,0.55,0.4
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9148977838143557,25.697441468177836,10.40938734684693,-18.138108140546954,loo,segment,decayed,decayedTrimpBefore,exponential,0.55,0.4
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear,0.939905176974478,21.053375162949283,9.562333234000429,-12.44617550863699,in_sample,segment,cumulative,cumTrimpBefore,linear,0.55,0.2
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9279006400550782,23.61599064933335,9.926203286023915,-9.883560022252917,loo,segment,cumulative,cumTrimpBefore,linear,0.55,0.2
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.9468271823569521,20.911247371259222,9.772909276918094,-8.224194948649702,in_sample,segment,cumulative,cumTrimpBefore,exponential,0.55,0.3
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9265743396539434,24.087459502493363,10.292363120473512,-7.919951823371448,loo,segment,cumulative,cumTrimpBefore,exponential,0.55,0.3
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear,0.9827305543926969,6.247931830932156,6.7476214315314715,-0.7048033827192505,in_sample,activity,decayed,decayedTrimpBefore,linear,0.55,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9827305543926969,6.2479318309321545,6.74762143153147,-0.7048033827192542,loo,activity,decayed,decayedTrimpBefore,linear,0.55,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9825983251508813,6.269690418619049,6.750703835832541,-0.7603887078689529,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.55,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9703559112613359,7.348193146532635,7.561709772351091,0.31811402004464673,loo,activity,decayed,decayedTrimpBefore,exponential,0.55,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear,0.9862437427873263,4.932495480852036,5.546475542146824,-2.38972282760835,in_sample,activity,cumulative,cumTrimpBefore,linear,0.6,0.4
top10HardTrailByHRR,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9816600072502322,5.464767447612901,5.946730185656688,-1.8574508608474942,loo,activity,cumulative,cumTrimpBefore,linear,0.6,0.4
