cohort,stage,fitObjective,alpha,mu,r2,maeSec,mapePct,biasSec,loadFactorCol,useHrrEffort,fatigueState,acuteTrimpCol,fatigueCoef,fatigueModel,segmentR2,segmentMaeSec,segmentMapePct,segmentBiasSec,raceR2,raceMaeSec,raceMapePct,raceBiasSec
hardTrailRun,Stage 0 reproduction Stage 3,activity,0.45,0.0,0.8582800473422874,2844.213604411693,35.058572966062485,952.2053657781362,,,,,,,,,,,,,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,activity,0.4,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.0,linear,0.2047036797262326,183.7553905518183,33.37771971284241,42.11568418684663,0.8581330932684873,2709.347207051605,32.087992560873026,582.640614764236
hardTrailRun,Stage 2 TRIMP fatigue REDI,activity,0.4,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.0,linear,0.2134391205985472,182.13399860548074,32.8987921346127,37.42091041656927,0.8551909669980655,2695.9450252669994,31.625995437243056,495.3178226370772
hardTrailRun,Stage 3 HRR speed ratio,activity,0.7,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.2,exponential,0.6656921545427419,111.09502485596373,18.882905085274505,16.782726242365197,0.9683102061846738,1189.4199488444247,11.737023962106328,111.44759699688176
hardTrailRun,Stage 0 reproduction Stage 3,segment,0.45,0.0,0.8582800473422874,2844.213604411693,35.058572966062485,952.2053657781362,,,,,,,,,,,,,,
hardTrailRun,Stage 1 TRIMP fatigue CTL,segment,0.55,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.3554046685225051,156.28691920977764,26.074859562847458,-38.35807258412919,0.8176902113280138,2463.4470090453956,20.742258073886273,-914.1712611759141
hardTrailRun,Stage 2 TRIMP fatigue REDI,segment,0.55,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.35233253239781426,156.11160496691087,25.87613833079897,-42.406769259504344,0.8120538059025398,2465.5747380594307,20.552913426049095,-989.4770193378918
hardTrailRun,Stage 3 HRR speed ratio,segment,0.85,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.3,exponential,0.7124445496780976,100.61101905813507,16.846847526087018,-41.795273156198185,0.9414047302626946,1239.8369726056505,9.305005867130824,-978.1031918163976
hardRunOrTrailRun,Stage 0 reproduction Stage 3,activity,0.5,0.0,0.8580465813718825,1977.1432048137624,34.97195579242727,749.5276222667459,,,,,,,,,,,,,,
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL,activity,0.5,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.39528911835927394,142.51507876616475,32.5994690725788,55.87261400198616,0.860441953056246,1879.2231916089581,30.587607437029085,776.8039463599474
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI,activity,0.5,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.3961131961533325,142.41733877935314,32.56463926248971,53.91884099053475,0.8575766265989289,1883.15367249451,30.696679067057115,747.4404451781338
hardRunOrTrailRun,Stage 3 HRR speed ratio,activity,0.75,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.2,linear,0.7670314315073594,75.60042281191704,15.478825142317149,8.592588060246884,0.9679412439305325,747.2906958720174,10.413592930845535,66.22646909963274
hardRunOrTrailRun,Stage 0 reproduction Stage 3,segment,0.5,0.0,0.8580465813718825,1977.1432048137624,34.97195579242727,749.5276222667459,,,,,,,,,,,,,,
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL,segment,0.6,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.2,linear,0.49728099633680367,109.71023101951072,21.8140878153006,-21.359835779677844,0.8405824004317124,1399.4958548440998,16.220978356500826,-383.9322891936049
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI,segment,0.6,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,linear,0.49184728673856226,110.29740358343162,21.89795095978494,-23.034969687359084,0.8357112790156229,1410.2108694334745,16.39664152570111,-409.10808811681426
hardRunOrTrailRun,Stage 3 HRR speed ratio,segment,0.85,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.3,exponential,0.7847292855289318,69.55577567397232,13.54975459177897,-22.195387476100557,0.9564722547017666,671.4764869766503,7.676189671809692,-396.4899010971229
top10HardTrailByHRR,Stage 0 reproduction Stage 3,activity,0.7,-0.05,0.9748301332991514,460.91989698668823,9.809552064043954,39.00670717040062,,,,,,,,,,,,,,
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,activity,0.8,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.3,exponential,0.8340533676666424,52.68356600661197,13.864880661857137,-7.89288906385995,0.9890261946077711,297.38277289135317,8.099149599431534,-100.05049158344313
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,activity,0.8,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.3,exponential,0.8434092418877759,50.845476305749955,13.487444561834605,-9.946247777496156,0.9906688417285299,291.5835664399028,7.607184984940522,-131.6722157734408
top10HardTrailByHRR,Stage 3 HRR speed ratio,activity,0.8,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.2,linear,0.8672417468021272,47.97438505411445,12.718178964666613,-0.7015584347993769,0.9914127154460431,265.25078220606895,5.770767549693447,10.696000104089716
top10HardTrailByHRR,Stage 0 reproduction Stage 3,segment,0.7,-0.05,0.9748301332991514,460.91989698668823,9.809552064043954,39.00670717040062,,,,,,,,,,,,,,
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,segment,0.75,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.851924924108852,48.05393520217141,12.977640296809675,-20.440385309751317,0.9789578289320993,449.384556101891,9.263244279904145,-293.28193377017016
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,segment,0.75,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.2,exponential,0.8577374731543856,47.421671429813436,12.900291208089223,-22.39132000169107,0.97807682695323,442.6310443392882,8.765135951765604,-323.32632802604246
top10HardTrailByHRR,Stage 3 HRR speed ratio,segment,0.8,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.2,exponential,0.8791437891521293,45.45078011087355,12.26692007287264,-11.83442604163968,0.9888592331226338,296.8445188929726,5.865026657952431,-160.75016104125112
selectedDateRaces,Stage 0 reproduction Stage 3,activity,0.55,-0.05,0.9326471827328023,2249.853628236638,30.22441825370227,1031.8042174024076,,,,,,,,,,,,,,
selectedDateRaces,Stage 1 TRIMP fatigue CTL,activity,0.75,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.3,linear,0.6034362206813113,98.74751423520895,19.732637698113802,-6.505938719121141,0.9678439399139368,1231.6054848240992,11.91797073779261,133.41632558504867
selectedDateRaces,Stage 2 TRIMP fatigue REDI,activity,0.75,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.3,linear,0.6070503489958503,97.9814208733611,19.523339085663522,-9.6164708297757,0.9674814159484886,1226.0736254237704,11.780287934926886,60.49162832414751
selectedDateRaces,Stage 3 HRR speed ratio,activity,0.85,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.3,exponential,0.7614752667041893,71.51520020872273,14.17580033805827,-13.085743113856378,0.9918981269428768,465.67428347268986,3.452631761094223,-20.84353300263305
selectedDateRaces,Stage 0 reproduction Stage 3,segment,0.55,-0.05,0.9326471827328023,2249.853628236638,30.22441825370227,1031.8042174024076,,,,,,,,,,,,,,
selectedDateRaces,Stage 1 TRIMP fatigue CTL,segment,0.7,,,,,,ctlReadinessFactor,False,decayed,decayedTrimpBefore,0.3,exponential,0.6131960773261091,97.08837889527227,19.538966416579285,-11.21475012342958,0.9591672497593003,1335.4909010048495,12.930229624249092,23.02085821737353
selectedDateRaces,Stage 2 TRIMP fatigue REDI,segment,0.7,,,,,,rediReadinessFactor,False,decayed,decayedTrimpBefore,0.3,exponential,0.6162073116678102,96.12433073050202,19.25929322380417,-14.333606978171073,0.9584630129418432,1310.7910656393558,12.352354371245594,-50.09900804378879
selectedDateRaces,Stage 3 HRR speed ratio,segment,0.8,,,,,,rediReadinessFactor,True,decayed,decayedTrimpBefore,0.2,linear,0.7654613467944172,70.03333201549272,14.03493307981257,-19.314245156169314,0.9893438930888796,483.4937317111062,3.861455226136887,-166.86730310574688
