cohort,stage,r2,maeMin,mapePct,biasMin,fitObjective
hardRunOrTrailRun,Stage 3 HRR speed ratio,0.9679412439305325,12.45484493120029,10.413592930845535,1.1037744849938789,activity
hardRunOrTrailRun,Stage 3 HRR speed ratio,0.9564722547017666,11.191274782944172,7.676189671809692,-6.608165018285382,segment
hardRunOrTrailRun,Stage 3 HRR speed ratio LOO,0.9545787796867029,13.788286299572187,10.651199936921381,2.087603962713475,activity
hardRunOrTrailRun,Stage 3 HRR speed ratio LOO,0.9564722547017666,11.191274782944175,7.676189671809691,-6.608165018285382,segment
hardTrailRun,Stage 3 HRR speed ratio,0.9683102061846738,19.823665814073745,11.737023962106328,1.8574599499480293,activity
hardTrailRun,Stage 3 HRR speed ratio,0.9414047302626946,20.66394954342751,9.305005867130824,-16.30171986360663,segment
hardTrailRun,Stage 3 HRR speed ratio LOO,0.9480913181266469,23.049160030160262,12.353605580136604,5.082954166034545,activity
hardTrailRun,Stage 3 HRR speed ratio LOO,0.9387318321175773,21.661260786401286,9.446615755852962,-15.304408620632847,segment
selectedDateRaces,Stage 3 HRR speed ratio,0.9918981269428768,7.761238057878164,3.452631761094223,-0.3473922167105508,activity
selectedDateRaces,Stage 3 HRR speed ratio,0.9893438930888796,8.05822886185177,3.861455226136887,-2.7811217184291146,segment
selectedDateRaces,Stage 3 HRR speed ratio LOO,0.9857513370600525,10.25451616531261,3.806656482899568,2.1458858907238816,activity
selectedDateRaces,Stage 3 HRR speed ratio LOO,0.9802734920700257,9.629224285371617,4.1463396986221275,-4.3521171419489555,segment
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.9914127154460431,4.420846370101149,5.770767549693447,0.17826666840149527,activity
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.9888592331226338,4.94740864821621,5.865026657952431,-2.6791693506875185,segment
top10HardTrailByHRR,Stage 3 HRR speed ratio LOO,0.9914127154460431,4.42084637010115,5.770767549693448,0.17826666840149605,activity
top10HardTrailByHRR,Stage 3 HRR speed ratio LOO,0.9888592331226338,4.947408648216213,5.865026657952434,-2.679169350687523,segment
