cohort,stage,r2,maeMin,mapePct,biasMin,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,deltaMaeMinVsFull
hardTrailRun,full,0.9683102061846738,19.823665814073745,11.737023962106328,1.8574599499480293,activity,decayed,decayedTrimpBefore,exponential,0.0
hardTrailRun,no GAP,0.8189050617186723,37.788605611326744,16.78531768646562,-33.17211648736065,activity,decayed,decayedTrimpBefore,exponential,17.964939797253
hardTrailRun,no altitude,0.9572826429352821,21.290741233134295,11.902499965115325,-2.3830494220403513,activity,decayed,decayedTrimpBefore,exponential,1.4670754190605493
hardTrailRun,no REDI readiness,0.9570960511106447,22.440485528161965,13.434173873625255,6.146564311222841,activity,decayed,decayedTrimpBefore,exponential,2.6168197140882192
hardTrailRun,no HRR speed ratio,0.6476654147452472,53.42794833262739,20.82886558508081,-51.792675253234286,activity,decayed,decayedTrimpBefore,exponential,33.604282518553646
hardTrailRun,no acute fatigue,0.8784465090153606,30.890342530373484,11.8424047715961,-27.029403301247008,activity,decayed,decayedTrimpBefore,exponential,11.066676716299739
hardTrailRun,full,0.9414047302626946,20.66394954342751,9.305005867130824,-16.30171986360663,segment,decayed,decayedTrimpBefore,exponential,0.0
hardTrailRun,no GAP,0.7496357744413746,47.71692608285857,22.403161443506132,-47.53993783679002,segment,decayed,decayedTrimpBefore,exponential,27.05297653943106
hardTrailRun,no altitude,0.9214897854595014,23.323489739994876,9.921658416970896,-20.183052812704936,segment,decayed,decayedTrimpBefore,exponential,2.6595401965673666
hardTrailRun,no REDI readiness,0.9373342456071403,21.510267825229946,9.536418224102102,-12.352594707670224,segment,decayed,decayedTrimpBefore,exponential,0.8463182818024357
hardTrailRun,no HRR speed ratio,0.5640962108207082,64.39074947751708,28.034102979019504,-64.23329885372907,segment,decayed,decayedTrimpBefore,exponential,43.72679993408957
hardTrailRun,no acute fatigue,0.7139886841699408,54.49162811274996,24.66454293603368,-54.24146938534066,segment,decayed,decayedTrimpBefore,exponential,33.827678569322444
hardRunOrTrailRun,full,0.9679412439305325,12.45484493120029,10.413592930845535,1.1037744849938789,activity,decayed,decayedTrimpBefore,linear,0.0
hardRunOrTrailRun,no GAP,0.8480285858323671,22.006600691838717,14.63661665340736,-14.249575827016566,activity,decayed,decayedTrimpBefore,linear,9.551755760638427
hardRunOrTrailRun,no altitude,0.9574744277652021,13.063006973849003,10.466339493143629,-0.7239488924797981,activity,decayed,decayedTrimpBefore,linear,0.6081620426487131
hardRunOrTrailRun,no REDI readiness,0.9600093032640565,13.450445392373064,10.774721853564357,3.2956968599005076,activity,decayed,decayedTrimpBefore,linear,0.9956004611727742
hardRunOrTrailRun,no HRR speed ratio,0.7153334352922702,29.470134129893847,16.32762549578605,-28.853026935408668,activity,decayed,decayedTrimpBefore,linear,17.01528919869356
hardRunOrTrailRun,no acute fatigue,0.8710234596957748,20.246925338520473,11.374831781735011,-17.315243099711104,activity,decayed,decayedTrimpBefore,linear,7.792080407320183
