cohort,stage,r2,maeMin,mapePct,biasMin,validation,fitObjective,fatigueState,acuteTrimpCol,fatigueModel,alpha,fatigueCoef
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear,0.965527344658001,20.66805273097307,12.484675999133188,6.689718087245077,in_sample,activity,decayed,decayedTrimpBefore,linear,0.7,0.2
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP linear LOO,0.9489758723081081,24.88531212596613,14.108668476145764,6.472869695820994,loo,activity,decayed,decayedTrimpBefore,linear,0.7,0.2
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential,0.9683102061846738,19.823665814073745,11.737023962106328,1.8574599499480293,in_sample,activity,decayed,decayedTrimpBefore,exponential,0.7,0.2
hardTrailRun,Stage 3 HRR speed ratio decayed TRIMP exponential LOO,0.9480913181266469,23.049160030160262,12.353605580136604,5.082954166034545,loo,activity,decayed,decayedTrimpBefore,exponential,0.7,0.2
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear,0.959879133310893,25.408383240124397,19.536622630423363,15.025607919625006,in_sample,activity,cumulative,cumTrimpBefore,linear,0.55,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP linear LOO,0.9426500247556048,28.42008852131598,19.964259692311597,18.463304451797793,loo,activity,cumulative,cumTrimpBefore,linear,0.55,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential,0.959879133310893,25.408383240124397,19.536622630423363,15.025607919625006,in_sample,activity,cumulative,cumTrimpBefore,exponential,0.55,0.0
hardTrailRun,Stage 3 HRR speed ratio cumulative TRIMP exponential LOO,0.9454982957501394,28.142778121659454,19.924883925605354,18.18599405214127,loo,activity,cumulative,cumTrimpBefore,exponential,0.55,0.0
hardTrailRun,Stage 3 HRR speed ratio linear progress linear,0.9602512769626923,23.987009336358156,16.500852660462893,7.233075960304038,in_sample,activity,progress,progress,linear,0.6,0.1
hardTrailRun,Stage 3 HRR speed ratio linear progress linear LOO,0.9551913384845439,25.07850570919449,17.066745486164248,8.32457233314037,loo,activity,progress,progress,linear,0.6,0.1
