cohort,stage,r2,maeMin,mapePct,biasMin,fitObjective
hardTrailRun,Stage 0 reproduction Stage 3,0.8582800473422874,47.4035600735282,35.05857296606247,15.87008942963559,activity
hardTrailRun,Stage 0 reproduction Stage 3 LOO,0.842780366503119,48.756681140844826,35.313442935694816,14.516968362318975,activity
hardTrailRun,Stage 1 TRIMP fatigue CTL,0.8581330932684873,45.15578678419342,32.087992560873026,9.710676912737267,activity
hardTrailRun,Stage 1 TRIMP fatigue CTL LOO,0.8581330932684873,45.15578678419342,32.087992560873026,9.710676912737268,activity
hardTrailRun,Stage 2 TRIMP fatigue REDI,0.8551909669980655,44.93241708778332,31.625995437243056,8.255297043951286,activity
hardTrailRun,Stage 2 TRIMP fatigue REDI LOO,0.8551909669980655,44.93241708778332,31.625995437243056,8.25529704395129,activity
hardTrailRun,Stage 3 HRR speed ratio,0.9683102061846738,19.823665814073745,11.737023962106328,1.8574599499480293,activity
hardTrailRun,Stage 3 HRR speed ratio LOO,0.9480913181266469,23.049160030160262,12.353605580136604,5.082954166034545,activity
hardTrailRun,Stage 0 reproduction Stage 3,0.8582800473422874,47.4035600735282,35.05857296606247,15.87008942963559,segment
hardTrailRun,Stage 0 reproduction Stage 3 LOO,0.842780366503119,48.756681140844826,35.313442935694816,14.516968362318975,segment
hardTrailRun,Stage 1 TRIMP fatigue CTL,0.8176902113280138,41.057450150756594,20.742258073886273,-15.236187686265234,segment
hardTrailRun,Stage 1 TRIMP fatigue CTL LOO,0.8154845779340776,41.56764189571873,21.100582166972973,-15.384877977931982,segment
hardTrailRun,Stage 2 TRIMP fatigue REDI,0.8120538059025398,41.09291230099051,20.552913426049095,-16.49128365563153,segment
hardTrailRun,Stage 2 TRIMP fatigue REDI LOO,0.8088561631400843,42.330315256870676,21.989452792828835,-15.910014715773825,segment
hardTrailRun,Stage 3 HRR speed ratio,0.9414047302626946,20.66394954342751,9.305005867130824,-16.30171986360663,segment
hardTrailRun,Stage 3 HRR speed ratio LOO,0.9387318321175773,21.661260786401286,9.446615755852962,-15.304408620632847,segment
hardRunOrTrailRun,Stage 0 reproduction Stage 3,0.8580465813718825,32.95238674689604,34.97195579242727,12.492127037779095,activity
hardRunOrTrailRun,Stage 0 reproduction Stage 3 LOO,0.8580465813718825,32.95238674689604,34.97195579242727,12.492127037779095,activity
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL,0.860441953056246,31.32038652681597,30.587607437029085,12.946732439332457,activity
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL LOO,0.8219425262862932,33.80068210633946,31.07584885925775,11.628753973750262,activity
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI,0.8575766265989289,31.385894541575166,30.696679067057115,12.457340752968896,activity
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI LOO,0.8246120868057061,33.08773595587679,31.01617897550188,11.911544455627022,activity
hardRunOrTrailRun,Stage 3 HRR speed ratio,0.9679412439305325,12.45484493120029,10.413592930845535,1.1037744849938789,activity
hardRunOrTrailRun,Stage 3 HRR speed ratio LOO,0.9545787796867029,13.788286299572187,10.651199936921381,2.087603962713475,activity
hardRunOrTrailRun,Stage 0 reproduction Stage 3,0.8580465813718825,32.95238674689604,34.97195579242727,12.492127037779095,segment
hardRunOrTrailRun,Stage 0 reproduction Stage 3 LOO,0.8580465813718825,32.95238674689604,34.97195579242727,12.492127037779095,segment
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL,0.8405824004317124,23.32493091406833,16.220978356500826,-6.398871486560082,segment
hardRunOrTrailRun,Stage 1 TRIMP fatigue CTL LOO,0.8328774031347479,23.71327066477011,16.29484621265754,-6.787211237261854,segment
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI,0.8357112790156229,23.503514490557908,16.39664152570111,-6.818468135280238,segment
hardRunOrTrailRun,Stage 2 TRIMP fatigue REDI LOO,0.831816015176891,23.765805874886368,16.446595583255018,-7.080759519608694,segment
hardRunOrTrailRun,Stage 3 HRR speed ratio,0.9564722547017666,11.191274782944172,7.676189671809692,-6.608165018285382,segment
hardRunOrTrailRun,Stage 3 HRR speed ratio LOO,0.9564722547017666,11.191274782944175,7.676189671809691,-6.608165018285382,segment
top10HardTrailByHRR,Stage 0 reproduction Stage 3,0.9748301332991514,7.681998283111469,9.809552064043952,0.6501117861733352,activity
top10HardTrailByHRR,Stage 0 reproduction Stage 3 LOO,0.9668993645502254,8.440338684006866,10.309414098957888,0.698387313983582,activity
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,0.9890261946077711,4.956379548189219,8.099149599431534,-1.6675081930573856,activity
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL LOO,0.9838638703092721,5.966092887707615,8.800651016408954,-1.2406204869109578,activity
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,0.9906688417285299,4.8597261073317135,7.607184984940522,-2.1945369295573465,activity
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI LOO,0.9858580894965836,5.981587776171521,8.981224228327308,-1.9060439906409683,activity
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.9914127154460431,4.420846370101149,5.770767549693447,0.17826666840149527,activity
top10HardTrailByHRR,Stage 3 HRR speed ratio LOO,0.9914127154460431,4.42084637010115,5.770767549693448,0.17826666840149605,activity
top10HardTrailByHRR,Stage 0 reproduction Stage 3,0.9748301332991514,7.681998283111469,9.809552064043952,0.6501117861733352,segment
top10HardTrailByHRR,Stage 0 reproduction Stage 3 LOO,0.9668993645502254,8.440338684006866,10.309414098957888,0.698387313983582,segment
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL,0.9789578289320993,7.489742601698183,9.263244279904145,-4.888032229502836,segment
top10HardTrailByHRR,Stage 1 TRIMP fatigue CTL LOO,0.9785554879054551,7.605299339905236,9.512199550727244,-4.772475491295774,segment
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI,0.97807682695323,7.37718407232147,8.765135951765604,-5.388772133767374,segment
top10HardTrailByHRR,Stage 2 TRIMP fatigue REDI LOO,0.9776834733423759,7.492474221623852,9.013516883835374,-5.273481984464985,segment
top10HardTrailByHRR,Stage 3 HRR speed ratio,0.9888592331226338,4.94740864821621,5.865026657952431,-2.6791693506875185,segment
top10HardTrailByHRR,Stage 3 HRR speed ratio LOO,0.9888592331226338,4.947408648216213,5.865026657952434,-2.679169350687523,segment
selectedDateRaces,Stage 0 reproduction Stage 3,0.9326471827328023,37.497560470610644,30.22441825370229,17.196736956706808,activity
selectedDateRaces,Stage 0 reproduction Stage 3 LOO,0.909398252265039,41.554578987356,31.39172629350974,15.815649432510643,activity
selectedDateRaces,Stage 1 TRIMP fatigue CTL,0.9678439399139368,20.526758080401653,11.91797073779261,2.223605426417478,activity
selectedDateRaces,Stage 1 TRIMP fatigue CTL LOO,0.9626585114022022,22.8361272367195,13.253488330702012,4.532974582735317,activity
selectedDateRaces,Stage 2 TRIMP fatigue REDI,0.9674814159484886,20.434560423729508,11.780287934926886,1.0081938054024586,activity
selectedDateRaces,Stage 2 TRIMP fatigue REDI LOO,0.9558746296554899,26.22330411150291,15.524061202961088,6.796937493175836,activity
selectedDateRaces,Stage 3 HRR speed ratio,0.9918981269428768,7.761238057878164,3.452631761094223,-0.3473922167105508,activity
selectedDateRaces,Stage 3 HRR speed ratio LOO,0.9857513370600525,10.25451616531261,3.806656482899568,2.1458858907238816,activity
